from_slug,from_location,to_slug,to_location,distance_km,travel_time,route_terrain,suggested_car,waypoints,unique_desc
kochi-airport,Kochi Airport,cheraman-masjid,Cheraman Juma Masjid,25,0.45 Hours,"suburban town roads","Dzire for easy navigation","Kodungallur bypass","A straightforward drive to India's oldest mosque in the heritage town."
kochi-airport,Kochi Airport,vavar-mosque,Vavar Mosque Erumely,115,3.00 Hours,"winding plantation roads","Innova Crysta for hill access","Kanjirappally bypass","A pleasant drive climbing gently into the gateway of the Sabarimala pilgrimage."
kochi-airport,Kochi Airport,thirunelli-temple,Thirunelli Temple,280,7.30 Hours,"steep ghats and dense forest roads","Innova Crysta for premium safety","Mananthavady diversions","An epic, deep-forest drive to the ancient 'Kashi of the South'."
kochi-airport,Kochi Airport,rajarajeshwara-temple,Rajarajeshwara Temple Taliparamba,265,6.45 Hours,"long NH66 coastal highway","Innova Crysta for extreme comfort","Kannur bypass","A marathon coastal cruise to one of the most prominent Shiva temples in Malabar."
kochi-airport,Kochi Airport,parassinikadavu-muthappan,Parassinikadavu Muthappan Temple,260,6.30 Hours,"long NH66 coastal highway","Innova Crysta for extreme comfort","Valapattanam river banks","A long, flavorful journey to the unique riverside temple in Kannur."
kochi-airport,Kochi Airport,thiruvambadi-temple,Thiruvambadi Temple Thrissur,55,1.15 Hours,"busy NH544 toll highway","Innova or Dzire","Thrissur Swaraj Round","A straight highway drive connecting the airport directly to the cultural capital."
kochi-airport,Kochi Airport,paramekkavu-temple,Paramekkavu Temple Thrissur,55,1.15 Hours,"busy NH544 toll highway","Innova or Dzire","Thrissur Swaraj Round","A straight highway drive connecting the airport directly to the cultural capital."
kochi-airport,Kochi Airport,kodungallur-temple,Kodungallur Bhagavathy Temple,30,0.50 Hours,"suburban town roads","Dzire for easy navigation","North Paravur bypass","A straightforward drive through the northern suburbs to the historic temple."
kochi-airport,Kochi Airport,thriprayar-temple,Thriprayar Sri Rama Temple,50,1.15 Hours,"coastal state highways","Ertiga or Dzire","Kodungallur bypass","A smooth journey ending at the beautiful riverside temple."
kochi-airport,Kochi Airport,aster-medcity,Aster Medcity Kochi,26,0.45 Hours,"well-paved city and backwater roads","Innova Crysta for patient comfort","Cheranallur bypass","A smooth, priority transfer focused on reaching the premium medical facility safely."
kochi-airport,Kochi Airport,amrita-hospital,Amrita Hospital Kochi,22,0.40 Hours,"multi-lane city highways","Dzire or Innova for patient comfort","Edappally toll junction","A quick and direct medical transfer into the bustling hospital campus."
kochi-airport,Kochi Airport,rajagiri-hospital,Rajagiri Hospital Aluva,15,0.25 Hours,"smooth suburban roads","Dzire or Etios","Aluva bypass","An extremely rapid 25-minute transfer ensuring quick access to medical care."
kochi-airport,Kochi Airport,lakeshore-hospital,Lakeshore Hospital Kochi,38,1.00 Hours,"major city bypass highway","Innova for maximum patient comfort","Vyttila bypass","A direct route down the bypass avoiding deep city traffic for a smooth hospital arrival."
kochi-airport,Kochi Airport,apollo-adlux,Apollo Adlux Hospital Angamaly,10,0.15 Hours,"short highway stretch","Dzire or Etios","Karukutty highway","A rapid 15-minute hop from the airport terminal directly to the hospital."
kochi-airport,Kochi Airport,renai-medicity,Renai Medicity Kochi,25,0.50 Hours,"busy urban streets","Dzire or Innova for patient comfort","Palarivattom bypass","Navigate straight into the heart of Kochi for a quick medical transfer."
kochi-airport,Kochi Airport,medical-trust,Medical Trust Hospital Kochi,32,1.00 Hours,"major city bypass highway","Dzire or Innova","Pallimukku junction","A direct route to one of Ernakulam's oldest and major hospital hubs."
kochi-airport,Kochi Airport,sunrise-hospital,Sunrise Hospital Kakkanad,26,0.50 Hours,"urban tech-corridor roads","Dzire or Innova Crysta","Seaport-Airport road","A hassle-free medical ride tailored for quick access to the Kakkanad hospital."
kochi-airport,Kochi Airport,kims-kochi,KIMS Hospital Kochi,28,0.55 Hours,"busy urban streets","Dzire or Innova for patient comfort","Edappally bypass","A smooth medical transfer dropping you right at the hospital entrance."
kochi-airport,Kochi Airport,lisie-hospital,Lisie Hospital Kochi,28,0.55 Hours,"busy urban streets","Dzire or Innova for patient comfort","Kaloor junction","Navigate straight into the heart of Kochi for a quick medical transfer."
kochi-airport,Kochi Airport,lourdes-hospital,Lourdes Hospital Kochi,30,1.00 Hours,"busy urban streets","Dzire or Innova for patient comfort","Pachalam bypass","Navigate straight into the city for a quick and comfortable medical transfer."
kochi-airport,Kochi Airport,caritas-hospital,Caritas Hospital Kottayam,85,2.10 Hours,"MC Road / state highways","Innova for patient comfort","Ettumanoor bypass","A smooth inland medical transfer to the major hospital in Kottayam."
kochi-airport,Kochi Airport,matha-hospital,Matha Hospital Kottayam,90,2.15 Hours,"MC Road / state highways","Innova for patient comfort","Kottayam town","A smooth inland medical transfer to the hospital in Kottayam."
kochi-airport,Kochi Airport,believers-hospital,Believers Church Hospital Thiruvalla,115,3.00 Hours,"busy MC road stretches","Innova for maximum patient comfort","Thiruvalla bypass","A smooth, priority medical transfer into the heart of Central Kerala."
kochi-airport,Kochi Airport,kims-trivandrum,KIMS Trivandrum,220,5.15 Hours,"long coastal highway (NH66)","Innova Crysta for maximum patient comfort","Trivandrum bypass","A long but comfortable highway cruise focused on a safe medical arrival."
kochi-airport,Kochi Airport,ananthapuri-hospital,Ananthapuri Hospital Trivandrum,225,5.30 Hours,"long coastal highway (NH66)","Innova Crysta for maximum patient comfort","Chackai bypass","A long but comfortable highway cruise focused on a safe medical arrival."
kochi-airport,Kochi Airport,rcc-trivandrum,RCC Trivandrum,225,5.30 Hours,"long coastal highway (NH66)","Innova Crysta for maximum patient comfort","Medical College bypass","A priority, comfortable highway cruise for outstation medical care."
kochi-airport,Kochi Airport,sree-chitra,Sree Chitra Trivandrum,225,5.30 Hours,"long coastal highway (NH66)","Innova Crysta for maximum patient comfort","Medical College bypass","A priority, comfortable highway cruise for outstation medical care."
kochi-airport,Kochi Airport,aster-mims-calicut,Aster MIMS Calicut,150,3.45 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance patient comfort","Kozhikode bypass","A long, culturally rich cruise up the coast focused on a safe medical arrival."
kochi-airport,Kochi Airport,baby-memorial,Baby Memorial Hospital Calicut,155,4.00 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance patient comfort","Kozhikode city","A long, comfortable cruise up the coast focused on a safe medical arrival."
kochi-airport,Kochi Airport,meitra-hospital,Meitra Hospital Calicut,160,4.10 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance patient comfort","Kozhikode bypass","A long, comfortable cruise up the coast focused on a safe medical arrival."
kochi-airport,Kochi Airport,amala-hospital,Amala Hospital Thrissur,60,1.20 Hours,"busy NH544 toll highway","Innova or Dzire for patient comfort","Thrissur bypass","A straight highway drive connecting the airport directly to the medical facility."
kochi-airport,Kochi Airport,jubilee-mission,Jubilee Mission Thrissur,55,1.15 Hours,"busy NH544 toll highway","Innova or Dzire for patient comfort","Thrissur town","A straight highway drive connecting the airport directly to the medical facility."
kochi-airport,Kochi Airport,elite-hospital,Elite Hospital Thrissur,55,1.15 Hours,"busy NH544 toll highway","Innova or Dzire for patient comfort","Thrissur town","A straight highway drive connecting the airport directly to the medical facility."
kochi-airport,Kochi Airport,westfort-hospital,Westfort Hospital Thrissur,55,1.15 Hours,"busy NH544 toll highway","Innova or Dzire for patient comfort","Thrissur town","A straight highway drive connecting the airport directly to the medical facility."
kochi-airport,Kochi Airport,grand-hyatt-bolgatty,Grand Hyatt Kochi Bolgatty,35,1.00 Hours,"city and backwater island roads","Innova Crysta for a premium arrival","Bolgatty bridge","A premium, hassle-free transfer straight to your luxury resort reception."
kochi-airport,Kochi Airport,taj-malabar,Taj Malabar Resort Willingdon Island,42,1.20 Hours,"urban traffic and harbor bridges","Innova Crysta for a premium arrival","Willingdon Island bridges","Cross the beautiful backwater bridges for a luxurious arrival at the heritage resort."
kochi-airport,Kochi Airport,crowne-plaza,Crowne Plaza Kochi,36,1.10 Hours,"major city bypass highway","Innova Crysta for a premium arrival","Kundannoor bypass","A direct, premium route down the bypass to your luxury business hotel."
kochi-airport,Kochi Airport,le-meridien,Le Meridien Kochi,37,1.15 Hours,"major city bypass highway","Innova Crysta for a premium arrival","Kundannoor bypass","A direct, premium route down the bypass to your luxury hotel."
kochi-airport,Kochi Airport,ramada-resort,Ramada Resort Kochi,40,1.20 Hours,"major city bypass highway","Innova Crysta for a premium arrival","Kumbalam bypass","A direct, premium route down the bypass to your luxury backwater resort."
kochi-airport,Kochi Airport,marriott-edappally,Marriott Hotel Edappally,22,0.40 Hours,"multi-lane city highways","Innova Crysta for a premium arrival","Lulu Mall junction","A smooth, premium drive dropping you right at the luxury hotel entrance."
kochi-airport,Kochi Airport,novotel-kochi,Novotel Kochi Infopark,28,0.55 Hours,"urban tech-corridor roads","Innova Crysta for a premium arrival","Seaport-Airport road","A hassle-free, premium ride tailored for IT professionals and business travelers."
kochi-airport,Kochi Airport,holiday-inn-kochi,Holiday Inn Kochi,30,1.00 Hours,"major city bypass highway","Innova Crysta for a premium arrival","Chakkaraparambu bypass","A direct, premium route down the bypass to your luxury hotel."
kochi-airport,Kochi Airport,radisson-blu-kochi,Radisson Blu Kochi,32,1.00 Hours,"busy urban streets","Innova Crysta for a premium arrival","Kadavanthra junction","Navigate straight into the heart of Kochi for a premium hotel arrival."
kochi-airport,Kochi Airport,courtyard-marriott-airport,Courtyard by Marriott Kochi Airport,1,0.05 Hours,"airport approach road","Dzire or Innova","Airport VIP road","An ultra-short, premium 5-minute transfer from the terminal to your hotel."
kochi-airport,Kochi Airport,port-muziris,Port Muziris Kochi,1,0.05 Hours,"airport approach road","Dzire or Innova","Airport VIP road","An ultra-short, premium 5-minute transfer from the terminal to your hotel."
kochi-airport,Kochi Airport,taj-kumarakom,Taj Kumarakom Resort,80,2.15 Hours,"scenic backwater resort roads","Innova Crysta for a premium arrival","Vembanad Lake views","A premium, relaxing transfer straight to the luxury backwater resort reception."
kochi-airport,Kochi Airport,kumarakom-lake-resort,Kumarakom Lake Resort,80,2.15 Hours,"scenic backwater resort roads","Innova Crysta for a premium arrival","Vembanad Lake views","A premium, relaxing transfer straight to the luxury backwater resort reception."
kochi-airport,Kochi Airport,zuri-kumarakom,Zuri Kumarakom Resort,80,2.15 Hours,"scenic backwater resort roads","Innova Crysta for a premium arrival","Vembanad Lake views","A premium, relaxing transfer straight to the luxury backwater resort reception."
kochi-airport,Kochi Airport,coconut-lagoon,Coconut Lagoon Kumarakom,80,2.15 Hours,"scenic backwater resort roads","Innova Crysta for a premium arrival","Vembanad Lake views","A premium, relaxing transfer straight to the boat jetty for your resort."
kochi-airport,Kochi Airport,niraamaya-kumarakom,Niraamaya Retreats Kumarakom,80,2.15 Hours,"scenic backwater resort roads","Innova Crysta for a premium arrival","Vembanad Lake views","A premium, relaxing transfer straight to the luxury backwater resort reception."
kochi-airport,Kochi Airport,blanket-hotel-munnar,Blanket Hotel & Spa Munnar,105,3.15 Hours,"steep and winding mountain roads","Innova Crysta for a premium arrival","Attukad Waterfalls diversion","A breathtaking climb up the Western Ghats straight to your luxury resort."
kochi-airport,Kochi Airport,panoramic-getaway,The Panoramic Getaway Munnar,100,3.00 Hours,"steep and winding mountain roads","Innova Crysta for a premium arrival","Chithirapuram diversions","A breathtaking climb up the Western Ghats straight to your luxury resort."
kochi-airport,Kochi Airport,chandys-windy-woods,Chandys Windy Woods Munnar,105,3.15 Hours,"steep and winding mountain roads","Innova Crysta for a premium arrival","Pallivasal diversions","A breathtaking climb up the Western Ghats straight to your luxury resort."
kochi-airport,Kochi Airport,elephant-court,Elephant Court Thekkady,144,4.15 Hours,"winding mountain roads and ghats","Innova Crysta for a premium arrival","Periyar National Park","Relax as our expert drivers navigate the beautiful winding roads up to your resort."
kochi-airport,Kochi Airport,spice-village,Spice Village Thekkady,144,4.15 Hours,"winding mountain roads and ghats","Innova Crysta for a premium arrival","Periyar National Park","Relax as our expert drivers navigate the beautiful winding roads up to your resort."
kochi-airport,Kochi Airport,niraamaya-thekkady,Niraamaya Retreats Cardamom Club,145,4.20 Hours,"winding mountain roads and ghats","Innova Crysta for a premium arrival","Periyar National Park","Relax as our expert drivers navigate the beautiful winding roads up to your resort."
kochi-airport,Kochi Airport,taj-bekal,Taj Bekal Resort,320,8.00 Hours,"long-distance NH66 highway","Innova Crysta for maximum endurance","Bekal Fort diversions","The ultimate premium coastal road trip spanning the entire length of northern Kerala."
kochi-airport,Kochi Airport,lalit-bekal,The Lalit Resort Bekal,325,8.15 Hours,"long-distance NH66 highway","Innova Crysta for maximum endurance","Bekal Fort diversions","The ultimate premium coastal road trip spanning the entire length of northern Kerala."
kochi-airport,Kochi Airport,neeleshwar-hermitage,Neeleshwar Hermitage,310,7.45 Hours,"long-distance NH66 highway","Innova Crysta for maximum endurance","Nileshwaram backwaters","The ultimate premium coastal road trip to the hidden gems of northern Kerala."
kochi-airport,Kochi Airport,raviz-ashtamudi,The Raviz Ashtamudi Kollam,165,4.00 Hours,"NH66 coastal highway","Innova Crysta for a premium arrival","Kollam backwaters","A comfortable, premium highway cruise leading directly to the luxurious lakeside resort."
kochi-airport,Kochi Airport,fragrant-nature-kollam,Fragrant Nature Kollam,175,4.15 Hours,"NH66 coastal highway","Innova Crysta for a premium arrival","Paravur backwaters","A comfortable, premium highway cruise leading directly to the luxurious lakeside resort."
kochi-airport,Kochi Airport,taj-green-cove,Taj Green Cove Kovalam,240,6.00 Hours,"long coastal highway (NH66)","Innova Crysta for a premium arrival","Kovalam bypass","A marathon, premium coastal cruise ending at the internationally renowned beach resort."
kochi-airport,Kochi Airport,leela-raviz-kovalam,The Leela Raviz Kovalam,240,6.00 Hours,"long coastal highway (NH66)","Innova Crysta for a premium arrival","Kovalam bypass","A marathon, premium coastal cruise ending at the internationally renowned beach resort."
kochi-airport,Kochi Airport,niraamaya-kovalam,Niraamaya Retreats Surya Samudra,245,6.15 Hours,"long coastal highway (NH66)","Innova Crysta for a premium arrival","Kovalam bypass","A marathon, premium coastal cruise ending at the internationally renowned beach resort."
kochi-airport,Kochi Airport,carnoustie-resort,Carnoustie Ayurveda Resort Marari,70,1.50 Hours,"flat coastal roads","Innova Crysta for a premium arrival","Alleppey bypass","A relaxing, premium drive leading straight to the private beach and ayurveda resort."
kochi-airport,Kochi Airport,marari-beach-resort,Marari Beach Resort CGH,75,2.00 Hours,"flat coastal roads","Innova Crysta for a premium arrival","Alleppey bypass","A relaxing, premium drive leading straight to the famous eco-friendly beach resort."
kochi-airport,Kochi Airport,xandari-pearl,Xandari Pearl Marari,75,2.00 Hours,"flat coastal roads","Innova Crysta for a premium arrival","Alleppey bypass","A relaxing, premium drive leading straight to the luxurious beach villas."
kochi-airport,Kochi Airport,brunton-boatyard,Brunton Boatyard Fort Kochi,45,1.30 Hours,"city traffic and heritage roads","Innova Crysta for a premium arrival","Vasco da Gama Square","Drive through the bustling city for a premium arrival at the historic harbor resort."
kochi-airport,Kochi Airport,eighth-bastion,Eighth Bastion Fort Kochi,45,1.30 Hours,"city traffic and heritage roads","Innova Crysta for a premium arrival","Fort Kochi beach road","Drive through the bustling city for a premium arrival at the boutique heritage hotel."
kochi-airport,Kochi Airport,forte-kochi,Forte Kochi,45,1.30 Hours,"city traffic and heritage roads","Innova Crysta for a premium arrival","Princess Street","Drive through the bustling city for a premium arrival at the luxury heritage hotel."
kochi-airport,Kochi Airport,fragrant-nature-kochi,Fragrant Nature Kochi,45,1.30 Hours,"city traffic and heritage roads","Innova Crysta for a premium arrival","Bazaar Road","Drive through the bustling city for a premium arrival at the luxury harbor hotel."
kochi-airport,Kochi Airport,vythiri-resort,Vythiri Resort Wayanad,225,6.00 Hours,"steep winding ghat roads (Churam)","Innova Crysta for a premium arrival","Lakkidi Viewpoint","An epic climb up the mountain pass for a luxurious arrival in the rainforest."
kochi-airport,Kochi Airport,windflower-wayanad,Windflower Resort Wayanad,235,6.15 Hours,"steep winding ghat roads (Churam)","Innova Crysta for a premium arrival","Vythiri diversions","An epic climb up the mountain pass for a luxurious arrival in the tea estates."
kochi-airport,Kochi Airport,taj-wayanad,Taj Wayanad,250,6.45 Hours,"winding mountain roads","Innova Crysta for a premium arrival","Banasura Sagar Dam diversions","A beautiful, misty drive right into the luxury resort overlooking the reservoir."
kochi-airport,Kochi Airport,morickap-resort,Morickap Resort Wayanad,240,6.30 Hours,"winding mountain roads","Innova Crysta for a premium arrival","Kalpetta bypass","A beautiful, misty drive right into the premium luxury resort in the hills."
kochi-airport,Kochi Airport,lulu-mall,Lulu Mall Kochi,23,0.45 Hours,"multi-lane city highways","Dzire or Ertiga","Edappally toll junction","A smooth drive dropping you right at the entrance of India's largest shopping mall."
kochi-airport,Kochi Airport,centre-square-mall,Centre Square Mall Kochi,30,1.00 Hours,"busy urban streets","Dzire or Etios","MG Road","Navigate straight into the heart of Kochi's main shopping district."
kochi-airport,Kochi Airport,oberon-mall,Oberon Mall Kochi,25,0.50 Hours,"major city bypass highway","Dzire or Etios","Edappally bypass","A quick transfer down the bypass straight to the popular shopping destination."
kochi-airport,Kochi Airport,forum-mall,Forum Mall Kochi,32,1.05 Hours,"major city bypass highway","Dzire or Innova","Kundannoor bypass","A direct route down the bypass to the newest luxury shopping mall in Kochi."
kochi-airport,Kochi Airport,infopark,Infopark Kakkanad,28,0.55 Hours,"urban tech-corridor roads","Dzire or Innova Crysta","Seaport-Airport road","A hassle-free ride tailored for IT professionals heading straight to the tech hub."
kochi-airport,Kochi Airport,smartcity,SmartCity Kochi,29,0.55 Hours,"urban tech-corridor roads","Dzire or Innova Crysta","Seaport-Airport road","A hassle-free ride tailored for IT professionals heading straight to the tech hub."
kochi-airport,Kochi Airport,technopark,Technopark Trivandrum,215,5.15 Hours,"long coastal highway (NH66)","Innova Crysta for maximum highway comfort","Kazhakootam bypass","A long, fast-paced highway cruise dedicated for corporate travelers."
kochi-airport,Kochi Airport,cyberpark,Cyberpark Calicut,150,3.45 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance comfort","Kozhikode bypass","A long, culturally rich cruise up the coast focused on a safe corporate arrival."
kochi-airport,Kochi Airport,cusat,Cochin University CUSAT,20,0.40 Hours,"urban city traffic","Dzire or Etios","Kalamassery junction","A quick and direct transfer straight into the sprawling university campus."
kochi-airport,Kochi Airport,rajagiri-college,Rajagiri College Kalamassery,19,0.40 Hours,"urban city traffic","Dzire or Etios","Kalamassery junction","A quick and direct transfer straight into the prominent educational institution."
kochi-airport,Kochi Airport,iim-kozhikode,IIM Kozhikode,165,4.15 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance comfort","Kunnamangalam diversions","A long cruise up the coast directly to the premier management institute."
kochi-airport,Kochi Airport,nit-calicut,NIT Calicut,170,4.30 Hours,"busy NH66 coastal highway","Innova Crysta for long-distance comfort","Kunnamangalam diversions","A long cruise up the coast directly to the premier engineering institute."
kochi-airport,Kochi Airport,iiser-trivandrum,IISER Trivandrum,235,6.00 Hours,"long coastal highway and hilly roads","Innova Crysta for long-distance comfort","Vithura diversions","A marathon highway cruise followed by a scenic drive to the science campus."
kochi-airport,Kochi Airport,coimbatore,Coimbatore,160,3.30 Hours,"multi-lane interstate toll highways","Innova Crysta for high-speed cruising","Walayar border","A fast-paced interstate highway cruise crossing the Palakkad gap into Tamil Nadu."
kochi-airport,Kochi Airport,madurai,Madurai,270,6.00 Hours,"multi-lane interstate toll highways","Innova Crysta for maximum endurance","Kumily or Shencottah ghats","A long, culturally rich interstate journey crossing the Western Ghats into Tamil Nadu."
kochi-airport,Kochi Airport,bangalore,Bangalore,500,10.00 Hours,"multi-lane interstate toll highways (NH544/NH44)","Innova Crysta for maximum endurance","Salem bypass","An epic, full-day interstate road trip connecting Kerala to the IT capital of India."
kochi-airport,Kochi Airport,mysore,Mysore,350,8.00 Hours,"ghat roads and interstate highways","Innova Crysta for long trips","Bandipur National Park","A highly scenic interstate journey passing through the famous tiger reserves."
kochi-airport,Kochi Airport,ooty,Ooty,240,6.30 Hours,"steep ghats and interstate hill roads","Innova Crysta for supreme hill power","Nilgiri Mountain curves","An epic climb up the Nilgiri mountains to the Queen of Hill Stations in Tamil Nadu."
kochi-airport,Kochi Airport,kodaikanal,Kodaikanal,260,6.30 Hours,"steep ghats and interstate hill roads","Innova Crysta for supreme hill power","Palani hills","An epic climb up the Palani mountains to the Princess of Hill Stations in Tamil Nadu."
kochi-airport,Kochi Airport,salem,Salem,320,6.30 Hours,"multi-lane interstate toll highways","Innova Crysta for high-speed cruising","Coimbatore bypass","A fast-paced interstate highway cruise deep into Tamil Nadu."
kochi-airport,Kochi Airport,tiruppur,Tiruppur,210,4.30 Hours,"multi-lane interstate toll highways","Innova Crysta for high-speed cruising","Coimbatore bypass","A fast-paced interstate highway cruise to the textile hub of Tamil Nadu."
kochi-airport,Kochi Airport,erode,Erode,260,5.30 Hours,"multi-lane interstate toll highways","Innova Crysta for high-speed cruising","Salem bypass","A fast-paced interstate highway cruise deep into the industrial belt of Tamil Nadu."
kochi-airport,Kochi Airport,mangalore,Mangalore,360,9.00 Hours,"long-distance NH66 coastal highway","Innova Crysta for maximum endurance","Kasaragod border","The ultimate coastal road trip spanning the entire length of Kerala into Karnataka."
kochi-airport,Kochi Airport,kanyakumari,Kanyakumari,310,7.30 Hours,"long-distance NH66 coastal highway","Innova Crysta for maximum endurance","Trivandrum bypass","A marathon journey to the southernmost tip of India where three oceans meet."
kochi-airport,Kochi Airport,nagercoil,Nagercoil,295,7.00 Hours,"long-distance NH66 coastal highway","Innova Crysta for maximum endurance","Trivandrum bypass","A marathon journey crossing the southern border into the temple towns of Tamil Nadu."
